번호,상세영업상태명,인허가일자,폐업일자,시설총규모,소재지전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,lon,lat
1600693,폐업,19970116,20100108,95.7,경상북도 청도군 금천면 갈지리 636번지 ,운문산성식당,한식,368073.7107,251263.9083,기타,128.8588681,35.74706116
1559214,폐업,20000315,20100108,78.7,경상북도 구미시 봉곡동 237-5번지 ,현승의숯닭,통닭(치킨),317770.505,295347.4457,,128.3094513,36.15155463
1722569,폐업,20090225,20100108,230.4,충청북도 증평군 증평읍 송산리 277-1번지 ,계룡함바식당,한식,,,주택가주변,inf,inf
1788529,폐업,20090904,20100108,29.93,경기도 여주시 홍문동 207-10번지 ,진영장칼국수,분식,256349.9917,421513.129,,127.6362993,37.29389615
1709379,폐업,19960925,20100108,75.9,경기도 화성시 서신면 상안리 352-6번지 ,따봉식당,한식,174152.3517,409311.13,,126.7097014,37.1852943
1664496,폐업,20031208,20100108,81.18,경상남도 거제시 옥포동 872-8번지 ,조은반점,중국식,354916.1334,156646.0425,,128.6955911,34.89677711
1610949,폐업,19810821,20100108,47.17,경상북도 봉화군 봉화읍 내성리 421-13번지 ,소문난고기마트,한식,354677.6586,378049.5219,기타,128.7359633,36.89130467
1683839,폐업,20021029,20100108,49.86,경상남도 창녕군 장마면 강리 980-1번지 ,명마루,한식,333924.1517,218708.6873,주택가주변,128.4760776,35.4589788
1612731,폐업,19961111,20100108,38.85,경상북도 울진군 울진읍 읍내리 518-15번지 ,B.B.Q 치킨,통닭(치킨),413787.0635,390774.0291,기타,129.4021889,36.99433928
1718469,폐업,20011030,20100108,82.49,경기도 광주시 곤지암읍 곤지암리 445-3번지 ,느낌표,호프/통닭,230024.5347,427540.8359,,127.3396538,37.34942629
1555876,폐업,20050906,20100108,118,경상북도 구미시 인의동 344-2번지 ,신짜오,중국식,328160.2248,290923.8259,,128.4241502,36.11038458
1564060,폐업,20070605,20100108,116.4,경상북도 구미시 인의동 382-1번지 외 1필지 101호 ,발딱소,한식,327967.2639,290568.9693,,128.4219502,36.10721298
1664460,폐업,20031224,20100108,318.3,경상남도 거제시 고현동 977-3번지 (7층) ,우즈레스토랑,경양식,348237.218,155832.3597,,128.6224063,34.89044183
1533613,폐업,20050926,20100108,35.2,경상북도 경주시 안강읍 양월리 1241-11번지 ,썰어썰어횟집,기타,399830.0837,279017.7127,,129.2166693,35.99107469
1534360,폐업,19970523,20100108,66.57,경상북도 경주시 건천읍 건천리 338-17번지 ,고목식당,한식,390057.7444,262982.9658,기타,129.1045456,35.84861246
1583927,폐업,20010517,20100108,40.3,경상북도 문경시 모전동 67번지 ,만성식육식당,한식,306784.8069,343559.8955,기타,128.194016,36.58720871
1565936,폐업,20081029,20100108,35.5,경상북도 구미시 인의동 814번지 ,추억의국민학교떡볶이황상점,분식,328308.0372,291619.9182,,128.4259046,36.11663639
1565797,폐업,20080328,20100108,22.5,경상북도 구미시 형곡동 151-1번지 ,계골농장식육식당,식육(숯불구이),319916.8844,290965.416,,128.3326289,36.11181129
1565026,폐업,20090605,20100110,143.72,경상북도 구미시 황상동 364-2번지 ,탄드라,호프/통닭,327632.615,290883.8175,,128.4182857,36.11009356
1548571,폐업,20020712,20100111,66,경상북도 안동시 태화동 203-5번지 ,장안족발,기타,353085.3521,341922.3785,,128.7108786,36.56616197
1565059,폐업,20030507,20100111,326.47,경상북도 구미시 지산동 629번지 ,구미한식뷔페,뷔페식,320843.6562,293156.637,,128.3432552,36.13143857
1554246,폐업,20080221,20100111,59.04,경상북도 구미시 고아읍 원호리 428-8번지 공영빌딩 106호 ,신떡원호점,분식,319567.4962,295406.1827,,128.3294234,36.15186411
1591393,폐업,19920219,20100111,68.24,경상북도 경산시 중방동 348-18번지 ,다모아숯불막창,한식,356550.1272,259210.2943,유흥업소밀집지역,128.7330805,35.82054516
1690157,폐업,20020702,20100111,,경상남도 하동군 금남면 계천리 971번지 지상 2층 ,장모님양념통닭,통닭(치킨),273949.737,166778.9298,,127.810838,34.99722306
1623350,폐업,20050623,20100111,202.8,경상남도 진주시 신안동 26-8번지 ,보리예가,한식,297769.7937,187695.6106,기타,128.0741875,35.18370596
1554310,폐업,20071227,20100111,53.72,경상북도 구미시 인의동 840-2번지 ,석쇠구이마을,한식,327998.2182,290205.5008,,128.4222349,36.10393429
1680796,폐업,20050726,20100111,61.88,경상남도 함안군 칠원읍 구성리 809-1번지 금안썬타워상가106호 ,시골가마솥돼지국밥,한식,,,,inf,inf
1558134,폐업,20010328,20100111,42.24,경상북도 구미시 원평동 1068-1번지 ,도큐하우스원평점,호프/통닭,321381.7773,292293.9218,,128.3490989,36.12359876
1607394,폐업,20081031,20100111,168.96,경상북도 칠곡군 왜관읍 삼청리 472번지 외 1필지 ,아지매돼지국밥,한식,328505.0978,276734.7918,기타,128.4256747,35.98250417
1690397,폐업,19930625,20100111,,경상남도 하동군 하동읍 읍내리 314-1번지 외 1필지(320-1) ,하동부페,한식,268190.5239,174844.5337,,127.7484191,35.07032224
1514928,폐업,19980202,20100111,31.35,경상북도 포항시 북구 흥해읍 남성리 147번지 ,손가네돼지국밥,한식,411451.6597,292502.8471,,129.3490484,36.11005545
1731450,폐업,19991104,20100111,41.57,경기도 포천시 어룡동 188-15번지 ,자연석돌삼겹살구이,한식,216182.977,486244.6082,,127.1847288,37.87867693
1692404,폐업,19960708,20100111,38.87,경상남도 함양군 휴천면 남호리 211번지 ,양지횟집,회집,269990.3721,215868.0719,,127.7716397,35.4399274
1635469,폐업,20050704,20100111,20.1,경상남도 사천시 동금동 88-8번지 경남상가 나동 32호,부산실비식당,정종/대포집/소주방,298492.6779,159849.4452,아파트지역,128.0788208,34.93268314
1777376,폐업,20091012,20100111,173.48,충청남도 당진시 송악읍 복운리 1630-5번지 (3층) ,패밀리가 떴다,기타,180367.0552,382279.8887,,126.7803973,36.94187858
1654481,폐업,20020807,20100111,24,경상남도 김해시 대청동 334-4번지 갑오마을 부영아파트상가동 202호 ,비비큐치킨,기타,363742.2741,188542.747,아파트지역,128.7983903,35.1827602
1579782,폐업,91870608,20100111,18.06,경상북도 상주시 남성동 12-13번지 ,태화식당,중국식,303939.3925,324361.4203,기타,128.159648,36.41455062
1764132,폐업,20070419,20100111,76.53,경상남도 창원시 마산합포구 중앙동3가 2-3번지 (108호) ,국밥마을,한식,342643.9786,190207.3528,기타,128.5671411,35.20097305
1564453,폐업,20060404,20100111,65.13,경상북도 구미시 원평동 1060-21번지 1층 ,먹고놀자,한식,321150.6978,292245.9561,,128.3465253,36.12319545
1577023,폐업,20071109,20100111,29.04,경상북도 영천시 금호읍 원제리 20번지 윤성@상가 105동 111호,마루분식,분식,371369.604,273065.9612,아파트지역,128.8999625,35.94287668
1671453,폐업,20071203,20100111,199.8,경상남도 양산시 평산동 0번지 21B 5L ,우뚝,한식,,,,inf,inf
1692336,폐업,20020909,20100111,20.4,경상남도 함양군 함양읍 용평리 681번지 ,삼육오반점,분식,266365.2677,224826.3812,,127.7324484,35.52091067
1765258,폐업,20090624,20100111,96,경상남도 창원시 의창구 팔용동 176-5번지 1층 ,아리아황태요리전문점,한식,346683.6949,196808.8597,주택가주변,128.6126605,35.25987019
1773511,폐업,20080903,20100111,63.64,경상남도 창원시 성산구 중앙동 79-4번지 번지 1층 ,해운대조개구이,한식,352694.9321,193255.5649,,128.6780318,35.2269592
1596842,폐업,19880129,20100111,0,경상북도 청송군 청송읍 월막리 345번지 ,수정식당,한식,,,,inf,inf
1661763,폐업,20040825,20100111,64.38,경상남도 거제시 고현동 968-8번지 102호 ,독불장군(고현점),호프/통닭,347925.7692,155702.2306,,128.6189775,34.88931469
1556657,폐업,20010307,20100111,42.42,경상북도 구미시 고아읍 원호리 439-4번지 104호 ,꼬꼬락숯불치킨,통닭(치킨),319602.339,295348.9779,,128.3298017,36.15134442
1712958,폐업,20080520,20100111,46.57,경기도 화성시 병점동 431-9번지 (신창프라자 108호) ,천수산민물장어,한식,203453.7672,411487.4119,기타,127.0396972,37.20525674
1773358,폐업,20081015,20100111,96.56,경상남도 창원시 진해구 용원동 1119번지 107.108호 ,나비식당,한식,366051.3565,179388.3619,,128.8218908,35.09990961
1775744,폐업,19870818,20100111,0,충청남도 당진시 읍내동 638-29번지 ,정성호프,호프/통닭,166842.3147,376771.6153,,126.6288145,36.89186559
1731004,폐업,20091228,20100111,33,경기도 포천시 소흘읍 송우리 453-2번지 ,빈대떡마을,한식,212656.9651,480381.0376,,127.1445484,37.82590511
1716371,폐업,19991025,20100112,30.78,경기도 광주시 곤지암읍 삼리 6-23번지 ,오향정육점식당,한식,229489.884,427872.77,,127.3336329,37.35243413
1715998,폐업,20060424,20100112,54,경기도 광주시 초월읍 쌍동리 392-205번지 ,강원송박사족발,한식,,,,inf,inf
1716238,폐업,20001208,20100112,119.48,경기도 광주시 초월읍 산이리 7-1번지 ,리즈클럽,호프/통닭,227890.4381,428891.0885,기타,127.3156189,37.36165856
1706306,폐업,20030714,20100112,120,경기도 화성시 오산동 844-1번지 ,전주24시뼈다귀해장국,한식,207608.8091,409745.1527,기타,127.086485,37.18953388
